key	en	de	nl	fr	ru	es	pt	it	zh-Hans	ja	ko	zh-Hant	ar	th	vi	tr	pl	ms	id
app_title	TSC Event Survey - 2025.12	TSC-Ereignisumfrage - 2025.12	TSC-evenementenquête - 2025.12	Sondage d’événement TSC - 2025.12	Опрос мероприятия TSC – 2025.12	Encuesta de evento TSC - 2025.12	Pesquisa de Evento TSC - 2025.12	Sondaggio Evento TSC - 2025.12	TSC 活动问卷 - 2025.12	TSC イベントアンケート - 2025.12	TSC 이벤트 설문 - 2025.12	TSC 活動問卷 - 2025.12	استبيان فعالية TSC - 2025.12	แบบสำรวจงาน TSC - 2025.12	Khảo sát sự kiện TSC - 2025.12	TSC Etkinlik Anketi - 2025.12	Ankieta wydarzenia TSC - 2025.12	Tinjauan Acara TSC - 2025.12	Survei Acara TSC - 2025.12

note_schedule-01	This survey aims to collect your preferred and available time slots for the event, and to help improve and maintain our team’s overall online participation rate. Thank you for your cooperation.	Diese Umfrage dient dazu, Ihre bevorzugten und verfügbaren Zeitfenster für das Event zu erfassen und die allgemeine Online-Teilnahmerate unseres Teams zu verbessern und aufrechtzuerhalten. Vielen Dank für Ihre Unterstützung.	Deze enquête is bedoeld om uw voorkeurstijden en beschikbare tijdslots voor het evenement te verzamelen en om de algehele online deelname van ons team te verbeteren en te behouden. Dank u voor uw medewerking.	Ce sondage vise à recueillir vos créneaux horaires préférés et disponibles pour l’événement, et à aider à améliorer et maintenir le taux de participation en ligne global de notre équipe. Merci pour votre coopération.	Этот опрос предназначен для сбора ваших предпочтительных и доступных временных интервалов для мероприятия, а также для улучшения и поддержания общего уровня онлайн-участия нашей команды. Благодарим за сотрудничество.	Esta encuesta tiene como objetivo recopilar sus horarios preferidos y disponibles para el evento, y ayudar a mejorar y mantener la tasa general de participación en línea de nuestro equipo. Gracias por su cooperación.	Esta pesquisa tem como objetivo coletar seus horários preferidos e disponíveis para o evento, além de ajudar a melhorar e manter a taxa geral de participação online da nossa equipe. Obrigado pela colaboração.	Questo sondaggio ha lo scopo di raccogliere i tuoi orari preferiti e disponibili per l’evento e di contribuire a migliorare e mantenere il tasso complessivo di partecipazione online del nostro team. Grazie per la collaborazione.	本问卷旨在收集您在活动中的可参加与偏好时间段，并帮助提升和维持团队整体的线上参与率。感谢您的配合。	このアンケートは、イベント参加における皆さまの希望・参加可能な時間帯を把握し、チーム全体のオンライン参加率の向上および安定化を図ることを目的としています。ご協力ありがとうございます。	이 설문은 이벤트에 참여할 수 있는 선호 시간대와 가능한 시간을 수집하고, 팀 전체의 온라인 참여율을 향상하고 유지하는 데 도움을 주기 위한 것입니다. 협조해 주셔서 감사합니다.	本次問卷旨在收集您對活動的偏好與可參與的時間時段，並協助提升與維持我們團隊整體的線上參與率。感謝您的配合。	يهدف هذا الاستبيان إلى جمع الأوقات المفضلة والمتاحة لديك للمشاركة في الحدث، والمساعدة في تحسين والحفاظ على معدل المشاركة الإجمالي لفريقنا عبر الإنترنت. شكرًا لتعاونك.	แบบสำรวจนี้มีวัตถุประสงค์เพื่อรวบรวมช่วงเวลาที่คุณต้องการและสามารถเข้าร่วมกิจกรรมได้ และเพื่อช่วยปรับปรุงและรักษาอัตราการเข้าร่วมออนไลน์โดยรวมของทีมเรา ขอขอบคุณสำหรับความร่วมมือ	Khảo sát này nhằm thu thập khung giờ bạn mong muốn và có thể tham gia sự kiện, đồng thời giúp cải thiện và duy trì tỷ lệ tham gia trực tuyến tổng thể của đội. Cảm ơn bạn đã hợp tác.	Bu anket, etkinlik için tercih ettiğiniz ve uygun olduğunuz zaman dilimlerini toplamak ve ekibimizin genel çevrimiçi katılım oranını iyileştirmeye ve sürdürmeye yardımcı olmak amacıyla hazırlanmıştır. İş birliğiniz için teşekkür ederiz.	Celem tej ankiety jest zebranie preferowanych i dostępnych przedziałów czasowych na wydarzenie oraz pomoc w poprawie i utrzymaniu ogólnego poziomu uczestnictwa online naszego zespołu. Dziękujemy za współpracę.	Tinjauan ini bertujuan untuk mengumpulkan slot masa pilihan dan ketersediaan anda untuk acara tersebut, serta membantu meningkatkan dan mengekalkan kadar penyertaan dalam talian keseluruhan pasukan kami. Terima kasih atas kerjasama anda.	Survei ini bertujuan untuk mengumpulkan waktu pilihan dan ketersediaan Anda untuk acara tersebut, serta membantu meningkatkan dan menjaga tingkat partisipasi online tim kami secara keseluruhan. Terima kasih atas kerja samanya.
note_schedule-02	The schedule is just a general guideline, and actual times may vary depending on the situation. All times are shown in server time.	Der Zeitplan dient nur als allgemeine Orientierung, und die tatsächlichen Zeiten können je nach Situation variieren. Alle Zeiten sind in Serverzeit angegeben.	Dit schema is slechts een algemene richtlijn en de werkelijke tijden kunnen afhankelijk van de situatie variëren. Alle tijden worden weergegeven in servertijd.	Ce planning est donné à titre indicatif et les horaires réels peuvent varier selon la situation. Toutes les heures sont indiquées en heure serveur.	Данное расписание носит ориентировочный характер, и фактическое время может меняться в зависимости от ситуации. Все времена указаны по серверному времени.	Este horario es solo una guía general y los horarios reales pueden variar según la situación. Todas las horas se muestran en hora del servidor.	Este cronograma é apenas uma orientação geral, e os horários reais podem variar conforme a situação. Todos os horários estão em horário do servidor.	Questo programma è solo una linea guida generale e gli orari effettivi possono variare a seconda della situazione. Tutti gli orari sono indicati in orario del server.	本时间表仅供参考，实际时间可能会根据情况有所调整。所有时间均为服务器时间。	このスケジュールはあくまで目安であり、実際の時間は状況により前後する場合があります。すべてサーバー時間で表示されています。	이 일정은 참고용이며, 실제 시간은 상황에 따라 달라질 수 있습니다. 모든 시간은 서버 시간 기준입니다.	此行程僅作為一般參考，實際時間可能會依情況有所調整。所有時間皆以伺服器時間顯示。	هذا الجدول هو مجرد إرشاد عام، وقد تختلف الأوقات الفعلية حسب الظروف. جميع الأوقات معروضة بتوقيت الخادم.	ตารางเวลานี้เป็นเพียงแนวทางเท่านั้น เวลาจริงอาจเปลี่ยนแปลงได้ตามสถานการณ์ โดยเวลาทั้งหมดเป็นเวลาเซิร์ฟเวอร์	Lịch trình này chỉ mang tính tham khảo và thời gian thực tế có thể thay đổi tùy theo tình hình. Tất cả thời gian đều được hiển thị theo giờ máy chủ.	Bu program yalnızca genel bir rehberdir ve gerçek zamanlar duruma göre değişebilir. Tüm saatler sunucu saatine göredir.	Ten harmonogram ma charakter orientacyjny, a rzeczywiste godziny mogą się różnić w zależności od sytuacji. Wszystkie godziny podane są według czasu serwera.	Jadual ini hanyalah panduan umum dan masa sebenar mungkin berbeza bergantung pada keadaan. Semua masa ditunjukkan mengikut masa pelayan.	Jadwal ini hanya sebagai panduan umum, dan waktu sebenarnya dapat berubah tergantung situasi. Semua waktu ditampilkan dalam waktu server.
note_schedule-03	The schedule is just a general guideline, and actual times may vary depending on the situation.	Der Zeitplan dient nur als allgemeine Orientierung, und die tatsächlichen Zeiten können je nach Situation variieren.	Dit schema is slechts een algemene richtlijn en de werkelijke tijden kunnen afhankelijk van de situatie variëren.	Ce planning est donné à titre indicatif et les horaires réels peuvent varier selon la situation.	Данное расписание носит ориентировочный характер, и фактическое время может меняться в зависимости от ситуации.	Este horario es solo una guía general y los horarios reales pueden variar según la situación.	Este cronograma é apenas uma orientação geral, e os horários reais podem variar conforme a situação.	Questo programma è solo una linea guida generale e gli orari effettivi possono variare a seconda della situazione.	本时间表仅供参考，实际时间可能会根据情况有所调整。	このスケジュールはあくまで目安であり、実際の時間は状況により前後する場合があります。	이 일정은 참고용이며, 실제 시간은 상황에 따라 달라질 수 있습니다.	此行程僅作為一般參考，實際時間可能會依情況有所調整。	هذا الجدول هو مجرد إرشاد عام، وقد تختلف الأوقات الفعلية حسب الظروف.	ตารางเวลานี้เป็นเพียงแนวทางเท่านั้น เวลาจริงอาจเปลี่ยนแปลงได้ตามสถานการณ์	Lịch trình này chỉ mang tính tham khảo và thời gian thực tế có thể thay đổi tùy theo tình hình.	Bu program yalnızca genel bir rehberdir ve gerçek zamanlar duruma göre değişebilir.	Ten harmonogram ma charakter orientacyjny, a rzeczywiste godziny mogą się różnić w zależności od sytuacji.	Jadual ini hanyalah panduan umum dan masa sebenar mungkin berbeza bergantung pada keadaan.	Jadwal ini hanya sebagai panduan umum, dan waktu sebenarnya dapat berubah tergantung situasi.
note_schedule-04	Doom Arena cannot be held on Tuesday, Thursday, or Saturday. In addition, it cannot be started while Elite War is in progress.	Doom Arena kann nicht am Dienstag, Donnerstag oder Samstag stattfinden. Außerdem kann es nicht gestartet werden, während Elite War läuft.	Doom Arena kan niet worden gehouden op dinsdag, donderdag of zaterdag. Daarnaast kan het niet worden gestart terwijl Elite War bezig is.	Doom Arena ne peut pas avoir lieu le mardi, le jeudi ou le samedi. De plus, il ne peut pas être lancé pendant qu’Elite War est en cours.	Doom Arena не может проводиться во вторник, четверг и субботу. Кроме того, его нельзя запускать во время проведения Elite War.	Doom Arena no puede celebrarse los martes, jueves ni sábados. Además, no se puede iniciar mientras Elite War esté en curso.	Doom Arena não pode ser realizado às terças, quintas e sábados. Além disso, não pode ser iniciado enquanto o Elite War estiver em andamento.	Doom Arena non può svolgersi il martedì, giovedì e sabato. Inoltre, non può essere avviato mentre è in corso Elite War.	Doom Arena 无法在周二、周四和周六举行。此外，在 Elite War 进行期间无法启动。	Doom Arena は火曜日・木曜日・土曜日には開催できません。また、Elite War 開催中は開始できません。	Doom Arena는 화요일, 목요일, 토요일에는 개최할 수 없습니다. 또한 Elite War 진행 중에는 시작할 수 없습니다.	Doom Arena 無法於星期二、星期四或星期六舉行。此外，在精英戰爭（Elite War） 進行期間，末日競技場也無法開始。	لا يمكن إقامة Doom Arena يوم الثلاثاء أو الخميس أو السبت. بالإضافة إلى ذلك، لا يمكن بدء الحدث أثناء إقامة Elite War.	Doom Arena ไม่สามารถจัดได้ในวันอังคาร วันพฤหัสบดี และวันเสาร์ นอกจากนี้ยังไม่สามารถเริ่มได้ในระหว่างที่ Elite War กำลังดำเนินอยู่	Doom Arena không thể tổ chức vào thứ Ba, thứ Năm và thứ Bảy. Ngoài ra, không thể bắt đầu khi Elite War đang diễn ra.	Doom Arena salı, perşembe ve cumartesi günleri yapılamaz. Ayrıca Elite War devam ederken başlatılamaz.	Doom Arena nie może odbywać się we wtorek, czwartek ani sobotę. Dodatkowo nie można go rozpocząć podczas trwania Elite War.	Doom Arena tidak boleh diadakan pada hari Selasa, Khamis dan Sabtu. Selain itu, ia tidak boleh dimulakan semasa Elite War sedang berlangsung.	Doom Arena tidak dapat diadakan pada hari Selasa, Kamis, dan Sabtu. Selain itu, tidak dapat dimulai saat Elite War sedang berlangsung.
note_schedule-05	Zombie Uprise cannot be started on Tuesdays or Thursdays.	Zombie Uprise kann nicht am Dienstag oder Donnerstag gestartet werden.	Zombie Uprise kan niet worden gestart op dinsdag of donderdag.	Zombie Uprise ne peut pas être lancé le mardi ou le jeudi.	Zombie Uprise нельзя запускать во вторник и четверг.	Zombie Uprise no puede iniciarse los martes ni los jueves.	Zombie Uprise não pode ser iniciado às terças ou quintas-feiras.	Zombie Uprise non può essere avviato il martedì o il giovedì.	Zombie Uprise 无法在周二或周四启动。	Zombie Uprise は火曜日および木曜日には開始できません。	Zombie Uprise는 화요일과 목요일에는 시작할 수 없습니다.	殭屍暴動（Zombie Uprise） 無法於星期二或星期四開始。	لا يمكن بدء Zombie Uprise يوم الثلاثاء أو الخميس.	Zombie Uprise ไม่สามารถเริ่มได้ในวันอังคารและวันพฤหัสบดี	Zombie Uprise không thể bắt đầu vào thứ Ba hoặc thứ Năm.	Zombie Uprise salı ve perşembe günleri başlatılamaz.	Zombie Uprise nie może zostać rozpoczęty we wtorek ani czwartek.	Zombie Uprise tidak boleh dimulakan pada hari Selasa atau Khamis.	Zombie Uprise tidak dapat dimulai pada hari Selasa atau Kamis.

btn_submit	Submit	Absenden	Verzenden	Envoyer	Отправить	Enviar	Enviar	Invia	提交	送信	제출	提交	إرسال	ส่ง	gửi	Kaydet / Gönder	Wyślij	Hantar	Kirim
btn_next	Next	Weiter	Volgende	Suivant	Далее	Siguiente	Próximo	Avanti	下一へ	次へ	다음	下一步	التالي	ถัดไป	Tiếp theo	Sonraki	Dalej	Seterusnya	Selanjutnya
